Game,比數,主客,得分,失分,勝敗,Date,VSTeam,Level,潛力組,少棒組,Mini,Coach,Note,Unnamed: 14,Unnamed: 15
陽明山盃,13:4,主,4.0,13.0,L,2021-10-30,藍閃,U12,,1.0,,郭教練,未晉級決賽,,
陽明山盃,1:7,主,7.0,1.0,W,2021-11-06,藍閃,U12,,1.0,,Vincent,未晉級決賽,,
就是棒,12:3,客,12.0,3.0,W,2021-10-02,HEAT,U12,,1.0,,郭教練,預賽,,
就是棒,2:10,主,10.0,2.0,W,2021-10-02,三星,U12,,1.0,,郭教練,預賽,,
就是棒,4:13,主,13.0,4.0,W,2021-10-30,港湖藍,U12,,1.0,,郭教練,預賽,,
就是棒,1:2,主,2.0,1.0,W,2021-10-30,WBC,U12,,1.0,,郭教練,預賽,,
就是棒,8:3,主,3.0,8.0,L,2021-11-20,WHB,U12,,1.0,,郭教練,預賽,,
就是棒,4:3,主,3.0,4.0,L,2021-11-20,敦化,U12,,1.0,,郭教練,預賽,,
就是棒,15:11,客,15.0,11.0,W,2021-12-04,光復,U12,,1.0,,郭教練,預賽,,
就是棒,1:11,客,1.0,11.0,L,2021-12-04,港湖紅,U12,,1.0,,郭教練,預賽,,
就是棒,0:7,客,0.0,7.0,L,2022-01-15,WHB,U12,,1.0,,郭教練,季後賽,,
就是棒,7:2,主,2.0,7.0,L,2022-01-15,敦化,U12,,1.0,,郭教練,季後賽,,
諸羅山,2:3,主,3.0,2.0,W,2021-12-19,桃園長庚,U12,,1.0,,郭教練,,,
諸羅山,0:6,客,0.0,6.0,L,2021-12-20,高雄鼓岩,U12,,1.0,,郭教練,,,
就是棒春季聯賽,6:7,客,6.0,7.0,L,2022-03-05,火山,U12,,1.0,,郭教練,例行賽,,
就是棒春季聯賽,8:2,主,2.0,8.0,L,2022-03-05,敦化,U12,,1.0,,郭教練,例行賽,,
就是棒春季聯賽,6:23,主,23.0,6.0,W,2022-04-09,日僑雷公,U12,,1.0,,郭教練,例行賽,,
就是棒春季聯賽,9:0,客,9.0,0.0,W,2022-04-09,波特,U12,,1.0,,郭教練,例行賽,,
就是棒春季聯賽,19:7,客,19.0,7.0,W,2022-04-30,HEAT,U12,,1.0,,郭教練,例行賽,,
就是棒春季聯賽,0:10,主,10.0,0.0,W,2022-04-30,TPE,U12,,1.0,,郭教練,例行賽,,
就是棒春季聯賽,1:4,客,1.0,4.0,L,2022-06-18,WHB,U12,,1.0,,郭教練,例行賽,,
就是棒春季聯賽,2:5,主,5.0,2.0,W,2022-06-18,運動家,U12,,1.0,,郭教練,例行賽,,
就是棒春季聯賽,6:5,客,6.0,5.0,W,2022-06-18,火山,U12,,1.0,,郭教練,季後賽,,
就是棒春季聯賽,14:10,主,10.0,14.0,L,2022-06-25,WHB,U12,,1.0,,郭教練,季後賽,,
古柏盃,2:4,客,2.0,4.0,L,2022-07-30,活力社區,U12,,1.0,,杜教練,戰鬥組,,
古柏盃,3:14,主,14.0,3.0,W,2022-07-30,水返腳,U12,,1.0,,杜教練,戰鬥組,,
古柏盃,7:3,主,3.0,7.0,L,2022-07-31,大日家扶,U12,,1.0,,郭教練,戰鬥組,,
古柏盃,3:6,客,3.0,6.0,L,2022-07-31,秀朗巨星,U12,,1.0,,杜教練,戰鬥組,,
運動家盃,9:8,主,8.0,9.0,L,2022-08-06,海德社區,U12,,1.0,,郭教練,A組亞軍,,
運動家盃,25:0,客,25.0,0.0,W,2022-08-06,金剛社區,U12,,1.0,,郭教練,A組亞軍,,
運動家盃,5:6X,客,5.0,6.0,L,2022-08-07,火山,U12,,1.0,,杜教練,A組亞軍,,
全國社區學生棒球大賽,2:6X,主,6.0,2.0,W,2022-07-09,波特少棒,U12,,1.0,,郭教練,晉級16強,,
全國社區學生棒球大賽,14:4,客,14.0,4.0,W,2022-07-09,火焰勇士,U12,,1.0,,郭教練,晉級16強,,
全國社區學生棒球大賽,19:4,客,19.0,4.0,W,2022-08-13,水返腳,U12,,1.0,,杜教練,晉級16強,,
全國社區學生棒球大賽,4:1,主,1.0,4.0,L,2022-08-14,台中健行小牛,U12,,1.0,,杜教練,晉級16強,,
全國社區學生棒球大賽,對手棄賽(0:6),主,,,W,2022-08-20,澎湖追風少年,U12,,,,杜教練,對手棄賽,,
全國社區學生棒球大賽,10:1,主,1.0,10.0,L,2022-08-21,三峽社區,U12,,1.0,,杜教練,晉級16強,,
彰化培英國小,9:6,客,9.0,6.0,W,2022-08-13,彰化培英國小,U12,,1.0,,杜教練,友誼賽,,
