Name,G,W,L,IP,K,BB,WPCT,WHIP,ERA,Strike_percentage,GOAO,K_Per,BB_Per,HR_Per,ERA_Plus
 李雨鴻,13,2,6,25.33,24,36,0.25,2.4476904855902095,6.869324911172523,1.275,1.368421052631579,5.68495854717726,8.527437820765892,0.4737465455981051,87.34482758620689
 林軒愷,5,0,1,1.32,1,11,0.0,9.09090909090909,4.545454545454545,0.7647058823529411,1.0,4.545454545454545,49.99999999999999,0.0,132.0
 袁相然,16,3,2,24.68,49,33,0.6,1.8638573743922204,4.6191247974068075,0.9494949494949495,1.75,11.912479740680713,8.022690437601296,0.0,129.89473684210526
吳喆鎧,6,0,0,11.0,6,6,,1.4545454545454546,3.2727272727272725,1.6111111111111112,4.2,3.2727272727272725,3.2727272727272725,0.0,183.33333333333334
張淳博,1,1,0,2.0,4,3,1.0,1.5,3.0,1.0434782608695652,inf,12.0,9.0,0.0,200.0
施博允,1,0,0,0.33,0,1,,3.0303030303030303,18.18181818181818,0.4,,0.0,18.18181818181818,0.0,33.0
曾少寬,11,4,4,32.01,21,23,0.5,1.7494532958450486,3.748828491096533,1.550387596899225,2.227272727272727,3.9362699156513594,4.311152764761013,0.5623242736644799,160.04999999999998
李泓毅,18,6,3,39.31999999999999,54,30,0.6666666666666666,1.2716174974567653,1.2207527975584946,1.448051948051948,1.2916666666666667,8.24008138351984,4.577822990844355,0.0,491.4999999999999
李紀諠,2,0,0,1.33,1,1,,2.255639097744361,13.533834586466167,0.8823529411764706,inf,4.511278195488721,4.511278195488721,0.0,44.33333333333333
杜翊嘉,1,0,0,0.67,1,0,,0.0,0.0,1.2,inf,8.955223880597014,0.0,0.0,inf
田定元,1,0,0,0.33,0,2,,12.121212121212121,18.18181818181818,0.5,inf,0.0,36.36363636363636,0.0,33.0
許鈞翔,10,3,1,14.67,15,11,0.75,2.3176550783912746,4.08997955010225,1.6206896551724137,1.8888888888888888,6.134969325153374,4.4989775051124745,0.0,146.70000000000002
鄭鈞愷,1,0,1,3.0,0,1,0.0,2.0,8.0,,8.0,0.0,2.0,0.0,75.0
韓予樂,1,0,0,0.33,1,5,,15.15151515151515,36.36363636363636,0.3333333333333333,,18.18181818181818,90.9090909090909,0.0,16.5
